id,easting,northing
7903867,532114.3,2376819.9
7903876,532115.2,2376768.6
7903885,532115.5,2376745.3
7903896,532116.6,2376694.2
7903906,532141.9,2376694.1
7903915,532143.8,2376720.7
7903925,532142.4,2376768.6
7903932,532140.7,2376794.3
7903945,532140.9,2376843.5
7903953,532141.1,2376869.6
7903965,532141.9,2376919.5
7903975,532142.3,2376943.3
7903985,532142.7,2376969.5
7903992,532142.2,2376994.3
7904001,532141.6,2377019.3
7904012,532141.3,2377068.6
7904021,532141.1,2377093.9
7904030,532141.3,2377118.7
7904042,532143,2377192.9
7904053,532142.9,2377219.7
7904061,532142.4,2377243.8
7904071,532142.2,2377269.4
7904081,532142.2,2377293.2
7904779,532166.2,2377319.3
7904786,532165.9,2377292.4
7904794,532166.2,2377268.3
7904801,532166.2,2377245
7904810,532167,2377192.6
7904817,532167.4,2377168.2
7904826,532166.3,2377141.9
7904835,532166.3,2377119.9
7904844,532166.4,2377069.1
7904854,532166.8,2377044.6
7904866,532166.3,2376993.7
7904874,532167.4,2376968.7
7904882,532167.5,2376944.1
7904890,532166.8,2376918.3
7904897,532167.5,2376893.8
7904909,532166.8,2376818.4
7904917,532167,2376795.3
7904925,532165.8,2376768.4
7904934,532165.6,2376741.7
7904945,532165.8,2376717.5
7904952,532166.1,2376693
7904995,532191.1,2376692.2
7905004,532191.3,2376743.8
7905011,532191,2376769.8
7905019,532190.6,2376793.7
7905025,532190.3,2376818.6
7905036,532191.2,2376867.8
7905044,532191.8,2376892.6
7905054,532192.7,2376942.5
7905063,532190.7,2376991.6
7905070,532188.8,2377019.3
7905074,532189.7,2377041.2
7905083,532191.2,2377068.2
7905092,532190.9,2377095
7905101,532191.4,2377142
7905111,532191.3,2377192.6
7905121,532191.3,2377216.9
7905137,532192.8,2377246.4
7905145,532191.6,2377268.2
7905153,532190.6,2377291.2
7909259,532190.3,2376470.3
7909265,532191.6,2376494.8
7909271,532193.7,2376520.8
7909275,532191.1,2376595.1
7909279,532192.1,2376615.4
7909283,532190.1,2376643.6
7909287,532191.4,2376668.6
7909306,532215.3,2377145
7909311,532217,2377115.3
7909320,532214.8,2377064.4
7909324,532217.7,2377040.6
7909328,532216.4,2376996.6
7909333,532217.1,2376968.7
7909338,532214.6,2376941.7
7909343,532214.1,2376918.9
7909348,532216.2,2376869.9
7909352,532215.6,2376843.9
7909357,532216.4,2376818
7909361,532216.9,2376796.5
7909366,532214.6,2376743.1
7909372,532215.3,2376716.1
7909376,532216.7,2376668.8
7909381,532215.8,2376643.5
7909386,532213.9,2376617.3
7909391,532216,2376566.8
7909397,532216.1,2376545
7909402,532215.6,2376517.6
7909433,532246.6,2376473.1
7909438,532241.6,2376498.7
7909445,532244,2376545.9
7909450,532242.8,2376570.4
7909454,532241.5,2376594.6
7909461,532243.6,2376645
7909465,532243.3,2376695
7909469,532242.8,2376721.2
7909475,532242.9,2376744
7909481,532241.3,2376772.8
7909486,532242.7,2376821.1
7909490,532242.7,2376846
7909496,532240.8,2376871
7909501,532241.2,2376892.3
7909506,532242.5,2376918.8
7909513,532242.3,2376965.6
7909521,532241.4,2377018
7909524,532243.4,2377043.8
7909533,532239.4,2377095.1
7909540,532242.2,2377120.6
7909548,532242.1,2377143.9
7909557,532265.1,2377121
7909564,532266.7,2377093.4
7909570,532265.5,2377069.1
7909578,532266,2377018.2
7909584,532266.2,2376994.6
7909590,532268.4,2376967.9
7909596,532268.2,2376943.9
7909601,532266.5,2376919
7909606,532265.7,2376892.9
7909614,532266.6,2376843
7909618,532266.6,2376794.6
7909625,532268.2,2376768
7909632,532266.6,2376721.5
7909638,532264.8,2376694
7909643,532266.4,2376667
7909650,532267.2,2376619.1
7909657,532266.4,2376591.7
7909664,532266.5,2376569
7909672,532266.3,2376544.9
7909679,532264.3,2376520.9
7909686,532262.5,2376492.6
7909741,532292.7,2376469.8
7909747,532292.9,2376493.9
7909756,532293,2376541.2
7909766,532291.9,2376570.8
7909774,532290.5,2376593.7
7909782,532289.8,2376618.8
7909794,532292,2376669.5
7909803,532291.9,2376692.7
7909816,532292.4,2376739.9
7909824,532292.8,2376770
7909833,532291.8,2376795.2
7909842,532293.4,2376845
7909851,532292.4,2376870.6
7909859,532292.4,2376918.5
7909869,532292.2,2376945.8
7909875,532290.7,2376972.1
7909881,532290.1,2376995.4
7909891,532292.8,2377045.8
7909901,532292.3,2377094.3
7909909,532293.3,2377120.2
7909915,532292.3,2377144.7
7909922,532318.1,2377144.9
7909927,532317,2377120.6
7910182,532313.9,2377066.8
7910192,532316,2377017.4
7910199,532315.3,2376990.7
7910206,532315.5,2376968.4
7910213,532316,2376943
7910219,532316.5,2376916.1
7910224,532316.1,2376891.5
7910237,532316.2,2376843.4
7910244,532316.2,2376819.7
7910252,532316.5,2376791.2
7910263,532317.8,2376742.2
7910271,532315,2376716.4
7910280,532316.8,2376666.4
7910289,532317.1,2376639.9
7910300,532315.4,2376593.9
7910308,532315,2376565.7
7910309,532217.1,2377318.4
7910317,532315.9,2376542.6
7910319,532217.7,2377293.2
7910324,532315.4,2376515.3
7910330,532217.2,2377268.6
7910332,532315.7,2376491.1
7910341,532217.1,2377217.7
7910350,532217.3,2377194.3
7910361,532216.9,2377169.8
7910373,532243.5,2377171.8
7910381,532342.2,2376471
7910385,532239.9,2377218.6
7910390,532342.3,2376521.8
7910393,532241.4,2377245.1
7910397,532343,2376544.7
7910402,532240.4,2377294.9
7910405,532342.4,2376571.8
7910413,532240.8,2377320.4
7910414,532340.8,2376622.7
7910421,532339.7,2376644.3
7910429,532340.9,2376670.7
7910436,532341.4,2376696.5
7910446,532342.2,2376720.3
7910457,532343.2,2376770.5
7910463,532342.7,2376796.7
7910470,532341.9,2376819.1
7910480,532341.1,2376870.5
7910488,532341,2376897.1
7910500,532341.2,2376946.4
7910508,532341.6,2376972.3
7910517,532342.2,2377016.9
7910524,532342.2,2377046
7910533,532343.9,2377070.8
7910540,532342.7,2377093.9
7910548,532341.6,2377119.6
7910559,532366,2377144.7
7910569,532365.8,2377096.8
7910578,532366.2,2377070.8
7910587,532367.4,2377042.2
7910596,532366.3,2377015.7
7910602,532366.6,2376994.9
7910616,532366.4,2376914.8
7910625,532365.9,2376890.1
7910634,532366.8,2376865.8
7910642,532367,2376842.4
7910648,532366.1,2376815.4
7910658,532366,2376770.4
7910668,532365,2376745.2
7910675,532365.8,2376716.8
7910683,532367.7,2376690.8
7910694,532364.5,2376643.2
7910703,532364.5,2376616.9
7910711,532366.5,2376591.2
7910722,532367.2,2376516.9
7910730,532364.5,2376494.5
7910779,532392.3,2376469
7910787,532391.3,2376492.1
7910796,532390.5,2376522.4
7910804,532392.1,2376570.8
7910811,532391.6,2376594.2
7910819,532390.4,2376619.8
7910830,532389.8,2376695.4
7910838,532392.2,2376720.8
7910848,532393.4,2376745.1
7910855,532392.2,2376769.9
7910862,532390.8,2376793.2
7910870,532390.3,2376817.5
7910877,532391.9,2376865.9
7910887,532391.8,2376895.6
7910896,532392.6,2376922.8
7910906,532391.7,2376964.7
7910914,532389.9,2376994.6
7910922,532391.6,2377019.1
7910935,532395.3,2377095.6
7910944,532391.1,2377121.2
7910955,532391.3,2377147.4
7910967,532415.3,2377119.2
7910976,532416,2377095.1
7910985,532416.3,2377069
7910991,532416,2377043
7911000,532417.1,2377019.8
