node,easting,northing
4523,368883.8,2460056.8
4529,368908.3,2460057.5
4537,368935.3,2460057.6
4544,368960,2460057.5
4550,368983.7,2460056.4
4556,369008.4,2460056
4577,369059.4,2460056.6
4584,369084.7,2460056.5
4590,369133,2460054.8
4598,369159.2,2460054.4
4605,369184.7,2460055.8
4614,369234.8,2460058.2
4626,369209.9,2460033.7
4634,369186,2460033.5
4643,369160.5,2460031.8
4652,369110.6,2460033.2
4661,369084.1,2460033.1
4669,369061,2460030.5
4676,369033.8,2460030.2
4684,369010.8,2460030.7
4692,368986.5,2460033.1
4700,368935.3,2460035
4871,368885.8,2460031.3
4876,368885,2460008
4885,368936.7,2460006.7
4891,368960.6,2460007.5
4896,369010.5,2460005.7
4902,369034.4,2460005.6
4908,369058.7,2460005.8
4915,369083.7,2460006.3
4923,369136,2460005.4
4930,369159.6,2460005.2
4938,369185.9,2460005.1
4946,369209,2460006
4958,369234.7,2459982.7
4967,369210.7,2459981.6
4975,369156.5,2459982.4
4984,369133.9,2459982.4
4992,369109.4,2459982
5000,369061.3,2459983.1
5011,369034.4,2459982.8
5018,369011.2,2459982.5
5028,368987.1,2459982.8
5039,368935.4,2459979.8
5045,368912.5,2459982.1
5060,368884,2459958.1
5067,368909.4,2459955.2
5076,368934.6,2459955.8
5083,368959.4,2459955.9
5090,368983.7,2459955.8
5099,369010.3,2459956.5
5109,369060.3,2459956
5117,369085.2,2459956.5
5126,369110.7,2459957.2
5137,369183.3,2459956
5143,369213,2459955.7
5150,369234.1,2459955.4
5160,369236.4,2459930.4
5171,369182.4,2459932
5178,369160.1,2459932.5
5187,369136,2459933.1
5194,369107.8,2459933.2
5203,369085,2459932.9
5212,369034,2459932.8
5221,368986.2,2459932.8
5228,368960.2,2459933.4
5237,368907.9,2459933.4
5242,368883.6,2459933.5
5255,368910.6,2459907.2
5262,368937,2459906
5270,368959.2,2459906
5281,369011.4,2459905.7
5291,369034,2459904.7
5301,369061.3,2459905.5
5308,369110.5,2459905.9
5317,369133.9,2459905.5
5325,369160.8,2459906.1
5333,369183.5,2459907.1
5340,369208.6,2459907.4
5355,369233.2,2459882.9
5365,369211.8,2459882.8
5373,369185.4,2459882.1
5383,369135.2,2459882.9
5391,369085.5,2459883.2
5401,369061.3,2459883
5411,369010.4,2459881
5418,368986.9,2459880.9
5430,368962.4,2459881.4
5436,368937.2,2459880.8
5449,368884.7,2459882
5461,368885.1,2459854
5469,368908.7,2459856.5
5479,368936.2,2459857
5489,368982.7,2459857.5
5497,369010.3,2459855.5
5504,369035.8,2459853.5
5512,369060,2459854.7
5521,369084.8,2459856.7
5530,369108.1,2459857.7
5540,369160.6,2459857.1
5549,369184.2,2459856.9
5558,369235,2459857.1
5570,369234.5,2459829.6
5578,369211.3,2459830.9
5587,369162.3,2459831.4
5595,369136,2459831.2
5602,369110.4,2459831.3
5607,369085.7,2459831.6
5612,369035.7,2459833.4
5618,368985,2459832.5
5622,368961.9,2459832.2
5628,368910.2,2459833.2
5632,368886.5,2459833.1
5638,368885.5,2459806.4
5643,368936.6,2459804.2
5648,368957.9,2459804.7
5652,368986.2,2459807.4
5656,369009.5,2459806.8
5661,369059.4,2459805.5
5665,369108.6,2459805.4
5669,369133.8,2459806
5672,369158.8,2459805.9
5677,369209.8,2459805.9
5679,369235.1,2459806.8
5683,369236.1,2459780.6
5687,369185.1,2459780.4
5691,369161.4,2459781.8
5695,369110.6,2459782.8
5698,369087.5,2459783.1
5703,369061,2459782.6
5716,369036.1,2459781.5
5720,368985.4,2459782.1
5724,368961.8,2459782
5729,368937.2,2459782.1
5731,368912.8,2459782.7
5739,368883.5,2459758
5743,368908.3,2459755.4
5750,368960.3,2459754.5
5755,369008,2459756.2
5759,369032.9,2459757.3
5763,369057.6,2459757.2
5768,369084,2459756.2
5774,369134.7,2459754.7
5777,369158.5,2459755.8
5783,369184.7,2459756.1
5788,369208.3,2459756.7
5797,369234.7,2459731.6
5802,369210.9,2459730
5807,369185.6,2459731
5812,369136,2459734
5817,369110.9,2459733.8
5822,369085.5,2459733.1
5829,369035.1,2459732.2
5836,369009.8,2459732.6
5843,368987.3,2459732.9
5850,368935.6,2459731.6
5856,368911.5,2459733.5
5862,368884.4,2459733.1
5870,368908.7,2459703.6
5878,368936.4,2459703
5885,368961.6,2459706.6
5890,368983.5,2459708.4
5899,369010.2,2459708.3
5912,369086.5,2459705.4
5920,369108.4,2459706.5
